,作者,文章名称,关键词,摘要,发表位置,时间,单位或其他,下载量,被引量
322,张志丹,北京市典型林分对PM2.5等大气颗粒物调控作用研究,"大气颗粒物
/
洗脱称量粒度分析法
/
单木
/
气象因子","城市大气颗粒物污染日益严重并引起了政府及社会各界的广泛担忧。植被尤其是木本植物可通过覆盖地表减少颗粒物来源、吸滞大气颗粒物、影响气象因子间接作用于大气颗粒物等方式,对大气颗粒物产生一定的调控和消除作用。因此,近年来借助城市树木减轻大气颗粒物污染受到了学术界及相关职能部门的普遍关注。但对植被吸滞颗粒物质量及粒径分布测定还缺乏精准的研究方法,对北京市调控大气颗粒物(特别是细颗粒物(PM2.5,d≤2.5 μm))典型林分配置模式也缺乏系统的研究,因此本文围绕以上两个方面开展了相关研究。研究内容主要包括：(1)对植物叶片吸滞PM2.5等大气颗粒物定量研究方法进行探索。(2)以城市道路边银杏单木为例,研究树木叶片大气颗粒物滞纳量在冠层内的空间变异性,分析其单位面积叶片PM2.5、PM1o(d≤ 10 μm)和TSP(d≤ 100 μm)吸滞量。(3)在对北京平原风景游憩林类型及其基本特征进行详细调查基础上,研究了典型林分对PM2.5、PM1o和TSP等大气颗粒物的吸滞能力及其与气象条件的关系,并提出调控PM2.5等大气颗粒物的典型林分配置模式。研究结果表明：(1)所提出的洗脱称量粒度分析法(EWPA)可实现对植物叶片吸滞大气颗粒物质量和粒径分布进行直接、准确测定,其可操作性强。其主要特点为：测定流程为清洗叶片、离心洗液、烘干等步骤收集其吸滞的颗粒物,然后对颗粒物称量,并采用激光粒度仪测定颗粒物的粒径分布,最后利用叶面积和林分叶面积指数数据换算得到单位面积叶片和林分的各径阶颗粒物吸滞量；测定颗粒物粒径范围为0.375～2000μm。在奥林匹克森林公园内一片毛白杨林分(27天未经历降雨,PM2.5日均值超国家二级标准的天数达到20天)中应用该法,测得毛白杨叶片吸滞大气颗粒物的粒径均值为17.8 μm,吸滞PM2.5、可吸入颗粒物(PM1o)和总悬浮颗粒物(TSP)的百分比分别为13.7%、47.2%和99.9%；叶片的PM2.5、PM10、TSP和总颗粒物吸滞量分别为8.88×10-、30.6×10-6、64.7×10-6和64.8×10-6g·cm-2；林分的PM2.5、PM10、TSP和总颗粒物吸滞量分别为0.963、3.32、7.01和7.02 kg·hm-2。(2)在0-2级风且大气污染不严重的天气下,城市道路边银杏单木单位面积叶片PM2.5、PM10和TSP滞纳量在冠层内的空间分布无明显规律,单位面积叶片PM2.5和PM10滞纳量分布状况较为相似,低处叶片PM2.5、PM1o滞纳量更大,高处叶片TSP滞纳量更大；除了高度对单位面积叶片PM2.5滞纳量有显著影响(P0.05),高度、方向、部位因子及交互作用对树冠单位面积叶片PM2.5、PM1o和TSP滞纳量均无显著影响(P0.05)。针对不同研究目的,对树木冠层大气颗粒物滞纳量研究的采样方法提出建议,为城市植被对大气颗粒物吸滞作用的相关研究提供一定科学依据。(3)当风力为0～2级时,在各污染级别下4片林分内PM2.5浓度的日均值[观测时段内(9：00—15：00)PM2.5浓度平均值]无显著差异(P0.05)。林内PM2.5浓度与空气相对湿度呈显著正相关(P0.01),与气温呈显著负相关(P0.05),与风速不相关(P0.05)。相对于林分外空地,林分内PM2.5浓度变化比例在-21.4%～33.2%,空气湿度较低时林分内PM2.5浓度降低,较高时增加,本次研究空气湿度的临界值为67%。(4)本研究中,不同林分中各树种叶片吸滞颗粒物粒径范围大都在260μm以内,粒径均值在12-39μm范围内。针叶树吸滞大气颗粒物能力大于阔叶树种,单位面积叶片PM2.5和PM10吸滞量最大的三个树种分别为：华山松、银杏、圆柏；单位面积叶片TSP吸滞量最大的三个树种分别为：华山松、元宝枫、银杏。单位面积林分PM2.5、PM10、TSP吸滞量比较中,华山松-银杏混交林和多树种复层混交林最大。基于本次研究结果,综合拓展提出两种调控PM2.5等大气颗粒物的典型林分配置模式,即“疏密交错模式”和“全面控制模式”。",《北京林业大学》,2016年,【学位授予单位】：北京林业大学【学位级别】：硕士【学位授予年份】：2016【分类号】：S718.5;X513,520.0,9.0
323,周峤,雾霾损失和协同防治政策研究,"雾霾
/
经济发展
/
损失
/
VAR模型","随着中国经济的高速发展,雾霾等环境问题凸显,雾霾造成的损失和雾霾的防治已成为近年来国内的热点问题。本文以雾霾造成的损失和防治雾霾的政策为研究主题,在环境经济学、计量经济学、博弈论、协同管理等理论和方法的框架下,对雾霾与经济发展的关系问题、雾霾防治过程中的困境、雾霾防治政策体系等内容展开深入研究。研究内容包括:一是整理雾霾研究的相关文献,总结雾霾问题研究的思路和经验,为雾霾研究提供理论依据;二是搜集整理雾霾引起的损失和危害数据,以安徽省的雾霾情况为代表,分析雾霾现状,为研究提供数据支撑;三是用数量方法分析雾霾与经济发展的关系问题;四是用博弈论方法分析雾霾防治过程中的各方困境;最后,提出一类雾霾治理的对策建议。本文的创新点主要体现在以下三个方面:第一,在对现有数据分析的基础上,运用计量经济学方法研究了雾霾与经济发展之间的关系,定量测算了雾霾引起的经济损失。现有文献对雾霾的研究主要侧重雾霾的监测和雾霾造成的某一类危害,而本文则创新地选取了 2002年以来的雾霾污染物数据和经济指标,创新地采用VAR模型研究了雾霾污染物指标与经济发展指标之间的量化关系问题,并且创新地采用估值方法,测算了雾霾引起的四大类损失的计量值。第二,运用博弈论方法研究了雾霾防治过程中多方博弈问题,分析了雾霾防治的难点,提出了相应的解决途径。现有文献中,博弈论主要被用于分析企业经营决策,本文创新地运用博弈论分析雾霾防治过程中,政府、企业、公众等宏观主体间博弈,微观个体与群体间博弈,中央政府与地方政府间博弈,地方政府之间博弈,企业与公众舆情博弈等五类博弈问题,得出了较为新颖的结论。第三,基于多元协作视角,提出了一类雾霾治理模式,为雾霾防治提供了有一定参考价值的对策建议。现有政策在防治雾霾上,主要依靠大气环境保护的法律法规规定,本文提出综合运用法律、经济、行政等多方面政策手段,防治雾霾,达到协同治理的效果。本文提出的解决产能过剩、推动官员适度有为、改进绿色投融资机制等对策建议,既结合当前政策热点,又为防治雾霾提供了新的思路和新的路径。",《中国科学技术大学》,2017年,【学位授予单位】：中国科学技术大学【学位级别】：博士【学位授予年份】：2017【分类号】：X51,1769.0,12.0
324,崔桂香/张兆顺/许春晓/黄伟希,城市大气环境的大涡模拟研究进展,"城市大气环境
/
大涡模拟
/
多尺度耦合
/
下垫面模型","本文回顾城市大气污染扩散的研究实践与进展,介绍城市大气环境流动的特点和用现代计算流体力学手段开展城市大气环境的大涡模拟研究方法,包括:数学模型,控制方程、亚网格湍流模式、定解条件及其数值方法.其中,重点介绍中尺度到微尺度的耦合模型与适用于复杂城市下垫面(满足大涡模拟分辨率要求且计算量较小)的组合模型;并给出实际算例和结果分析,包括准确度的统计估算和湍流特性等.最后,讨论城市大气环境数值模拟方法进一步改进的方向和城市大气环境流动与污染物扩散数值研究应重点关注的几个问题.",《力学进展》,2013年03期,"【作者单位】：
                清华大学工程力学系;  【基金】：国家自然科学基金(11132005,10925210,11002081)  
国家科技部支撑项目(MOST-2011BAK07B01-03)  
清华大学高性能计算平台项目资助~~  【分类号】：O355;O242.1",2693.0,33.0
325,翟广宇/王式功/董继元/尚可政,兰州市不同径粒大气颗粒物污染特征及气象因子的影响分析,"兰州
/
PM2.5
/
PM10
/
质量浓度","空气污染程度与就诊率、呼吸道发病率及死亡率等有着密切的联系。兰州市在上世纪末曾被喻为卫星上看不到的城市,它的大气污染程度一直以来为人们所关注。利用2013年国家环保部公布的兰州市5个监测点(涵盖了4区1县)大气细粒子PM10及PM2.5的监测数据,针对全年的日均PM2.5与PM10质量浓度并结合了同期的气象因子进行分析研究,结果表明:春冬季为兰州大气中两种颗粒物的污染的高峰期(春季峰值为3月份,PM10及PM2.5质量浓度的月均值为309和103μg·m-3,超标倍数为1.062与0.436;冬季峰值为11月份,PM10及PM2.5质量浓度的月均值为203和85μg·m-3,超标倍数为0.353与0.7),夏秋季为低谷(波谷为9月份,PM10及PM2.5的月均值为96和39μg·m-3,均低于国家标准)。PM2.5与PM10质量浓度比值均在0.4与0.5之间,呈一定的线性关系,大气污染较轻。当温度在-3~0℃之间时,大气中PM2.5与PM10质量浓度变化较剧烈。露点温度高于-3.15时,使得PM10的质量浓度下降明显;当日均露点温度高于1.85时,PM2.5的质量浓度随着露点温度的增大而降低,说明湿沉降对着两种粒子的清除作用明显。降水对大气中的两种颗粒物均呈现清除作用,但是在降水后PM10质量浓度迅速回升,但PM2.5质量浓度却变化不大。风向偏西时,大气中细颗粒污染物浓度增加。风速的增加对PM2.5有一定的清除作用,但由于兰州市的地貌特征,使得大气中PM10的质量浓度增加。上述结果为兰州市大气污染的监测与治理及大气污染预报提供了重要的依据。",《生态环境学报》,2015年01期,"【作者单位】：
                兰州大学大气科学学院;兰州工业学院软件工程学院;兰州大学公共卫生学院;  【基金】：国家自然科学基金项目(41075103)  
高校博士学科点专项科研基金博导类资助课题(20120211110018)  
中央高校基本科研业务费专项资金重大需求培育项目(lzujbky-2013-m03)  【分类号】：X513;X16",778.0,46.0
326,黎作武/贺德馨,风能工程中流体力学问题的研究现状与进展,"大气边界层
/
微观选址
/
尾流干扰
/
风力机翼型族","中国风电行业发展十分迅速,总装机容量和新增装机容量已达到世界第一,主力机型将从兆瓦级发展到多兆瓦级(5 MW),风资源已从陆地扩展到海上,这些变化将带来一系列新的问题.本文将就目前风力发电行业中的流体力学问题进行综述和探讨,总结其研究现状及取得的进展.主要包括大气边界层风特性、局部复杂地形影响及微观选址、风力机尾流干扰、风力机专用翼型族、风力机性能计算、气动弹性、海上风力发电的基础及水力作用等问题.此外,还针对目前发展迅速的计算流体力学问题进行了讨论.最后指出中国风电技术的不足及措施.",《力学进展》,2013年05期,"【作者单位】：
                中国空气动力研究与发展中心;中国风能协会;  【基金】：科技部863计划(2012AA051304)项目资助~~  【分类号】：O35;TM614",3404.0,61.0
327,赵娜,液体工质在小尺度空间喷雾特性的实验研究与数值模拟,"小尺度喷射雾化
/
HAN基液体推进剂
/
离心式喷嘴
/
撞击式喷嘴","小推力液体火箭发动机已广泛应用于航天飞机、飞船、动能拦截器、卫星、多级运载器之中,其作用主要是轨道修正、姿态控制、航天器的对接和交会、着陆等,是现代空间飞行器中不可缺少的组成部分。而正确地组织燃料在液体火箭发动机中的雾化燃烧过程,对提高发动机的工作可靠性、工作寿命、经济性和稳定性具有重要的意义。本文以小尺度液体火箭发动机为背景,针对HAN基液体推进剂模拟工质,设计了三种喷嘴结构：离心式喷嘴,撞击式喷嘴和空气雾化喷嘴,就其在大气环境中和小尺度模拟燃烧室内的喷射喷雾特性进行了相关实验和数值模拟研究。主要研究内容及成果如下：

	(1)采用高速录像系统对离心式喷嘴的喷雾锥角特性进行了定量测试。结果表明：不同结构的离心式喷嘴,其喷雾锥角均随着喷射压力的升高而增加；双旋流槽离心式喷嘴,其喷雾锥角随HAN基液体推进剂模拟工质粘度的增加先增大后减小；四旋流槽离心式喷嘴,其喷雾锥角随液体工质粘度的增加而线性减小；在相同的喷射压力和液体工质粘度条件下,喷嘴出口直径越大,喷雾锥角越大。

	(2)采用粒子动态分析仪(PDA)实验系统对离心式喷嘴在大气环境中和小尺度模拟燃烧室内雾化参数的分布特性进行了实验测量。结果表明：对于不同喷口直径的离心式喷嘴,HAN基液体推进剂模拟工质雾化场液滴索特尔平均直径D32均随着喷射压力的升高而减小；在相同的喷射压力下,喷口直径越小,液滴粒径D32越小；对于喷口直径Du=1mm的离心式喷嘴,雾化场液滴轴向速度vz沿轴向先减小后基本不变；对于喷口直径Du=2mm的离心式喷嘴,雾化场液滴轴向速度vz沿轴向先增大后减小。

	(3)采用PDA实验系统对撞击式喷嘴在大气环境中和小尺度模拟燃烧室内雾化参数的分布特性进行了实验测量。结果表明：HAN基液体推进剂模拟工质雾化场液滴算术平均直径D1o和索特尔平均直径D32沿轴向逐渐增加,而液滴vz沿轴向逐渐减小；喷射压力越大,液滴平均直径越小；在0.8-1.8MPa范围内,液滴轴向速度vz随喷射压力升高而增大；在1.8-2.6MPa范围内,液滴vz变化较小。在相同的喷射压力条件下,液体模拟工质粘度越大,液滴D10、D32值越大,而液滴轴向速度v=值越小。此外,在相同的喷射压力和液体模拟工质粘度条件下,小尺度模拟燃烧室内雾化场液滴平均直径和轴向速度轴均大于大气环境中的值。

	(4)采用PDA实验系统对空气雾化喷嘴在大气环境中和小尺度模拟燃烧室内雾化参数的分布特性进行了实验测量。结果表明：HAN基液体推进剂模拟工质雾化场液滴平均直径D10和D32沿轴向波动增加,液滴轴向速度v=沿轴向是逐渐减小的；当液体喷射压力不变时,气体喷射压力越高,液滴D10、D32值越小,液滴vz越大；当气体喷射压力不变时,液体喷射压力越大,液滴D10、D32值越大,而液体喷射压力对液滴vz的影响较小。

	(5)引入统计学中的离散系数,对离心式喷嘴、撞击式喷嘴和空气雾化喷嘴在大气环境中和小尺度模拟燃烧室内的雾化场参数的空间分布均匀性进行了定量分析研究。结果表明：喷射压力和壁面限制作用都会对雾化场参数分布均匀性产生影响。离心式喷嘴和空气雾化喷嘴雾化场液滴参数在大气环境中周向分布均匀性优于小尺度模拟燃烧室内的。而撞击式喷嘴雾化场液滴平均直径在小尺度模拟燃烧室内分布均匀性优于大气环境中；在r12mm的径向范围内,小尺度模拟燃烧室内液滴轴向速度的分布均匀性较好；在r15mm的径向范围内,大气环境中液滴轴向速度的分布均匀性优于小尺度模拟燃烧室内。

	(6)基于VOF模型,建立了一种三维非稳态气液两相流模型,对离心式喷嘴内HAN基液体推进剂模拟工质流动特性进行了数值模拟研究。模拟结果表明：该模型可以捕捉到离心式喷嘴内的气液界面变化；旋流室内的空气核在周围液体带动下旋转,并在气液交界面形成气液掺混带；喷雾锥角随着时间推移逐渐减小,并趋于稳定；旋流室越长,喷雾锥角越小；旋流室收缩角越小,喷雾锥角越小；液体模拟工质粘度越大,喷雾锥角越小。喷雾锥角的数值模拟结果和实验结果吻合较好。

	(7)在离心式喷嘴实验基础上,采用离散相DPM模型建立了一种三维非稳态模型,对HAN基液体推进剂模拟工质在大气环境中和小尺度模拟燃烧室内喷雾特性进行了数值模拟。模拟结果表明：增大液体喷射压力有助于细化雾化场液滴粒径和提高液滴运动速度；增大液体粘度恶化雾化效果；在相同的喷射条件下,小尺度模拟燃烧室内液滴粒径小于大气环境中,液滴轴向速度在两种喷射环境中相差较小。离心式喷嘴雾化场参数的数值模拟结果和实验结果吻合较好,说明所建立的模型可以对离心式喷嘴喷雾特性进行定量研究。

	(8)在撞击式喷嘴实验基础上,采用DPM模型建立了一种二维非稳态模型,对HAN基液体推进剂模拟工质在大气环境中和小尺度模拟燃烧室内的喷雾特性进行了数值模拟。模拟结果表明：在大气环境中,撞击射流在撞击点后,形成了以撞击点为顶点的对称锥形雾化场分布,液相质量分数在空间呈现“梭形”分布；撞击角度越大,液滴群沿径向扩散范围越大,雾化场中心的小颗粒液滴也越多；液体工质粘度越大,液滴D32越大,而液滴vz越小。在小尺度模拟燃烧室内,受壁面限制,液相质量分数分布不像大气环境中那样的“长梭形”,而是扩张为“扇形”；撞击角度越大,液滴D32越小,液滴v=也越小。在相同的喷射压力下,大气环境中液滴D32和vz小于小尺度模拟燃烧室内。撞击式喷嘴雾化参数的数值模拟结果和实验结果具有较好的吻合性,说明采用该模型可以对撞击式喷嘴进行定量模拟。",《南京理工大学》,2013年,【学位授予单位】：南京理工大学【学位级别】：博士【学位授予年份】：2013【分类号】：V434,680.0,14.0
328,董婷/李天昕/赵秀阁/曹素珍/王贝贝/马瑾/段小丽,某焦化厂周边大气PM_(10)重金属来源及健康风险评价,"焦化厂
/
大气
/
重金属
/
来源","为了解焦化厂周边大气PM10中重金属的来源及健康风险,于2012年6月采集了某焦化厂周边的PM10.使用微波消解-ICP-MS方法进行重金属含量的检测,并采用美国EPA人体暴露风险评价模型对大气颗粒物重金属进行人群健康风险的初步评价.结果表明,焦化厂周边PM10中10种重金属元素的浓度变化范围较大,在3.06×10-5~1.77×10-2mg·m-3之间,其中Cr的浓度最高,Co的浓度最低,致癌物质的浓度高于非致癌物质的浓度.焦化厂是其周边大气PM10重金属的主要来源,Ni是其主要的污染重金属.健康风险评价结果显示,成人的致癌风险比儿童大,工业区和学校存在较大致癌风险.而儿童的非致癌风险是最大的,居住区的非致癌风险不容忽视.致癌物质中Cd、Cr和As存在较大的潜在致癌风险,Ni和Co存在一定的潜在风险,非致癌物质中Mn的非致癌风险很大,应引起相关部门的重视.",《环境科学》,2014年04期,"【作者单位】：
                北京科技大学土木与环境工程学院;中国环境科学研究院环境基准与风险评估国家重点实验室;中国科学院生态环境研究中心;  【基金】：环境保护公益性行业科研专项(201109064,2010467046)  【分类号】：X513;X823",1238.0,57.0
329,孙俪袁,大气环境中PM_(2.5)污染源排放清单研究,"吉林市
/
PM2.5
/
排放清单
/
不确定性分析","大气颗粒物源解析工作是了解大气中污染物来源的重要途径,目前国内外研究颗粒物来源的方法主要包括受体模型法和排放清单法。受体模型是在采集样品并对样品进行化学组分分析的基础上开展的,常用的受体模型包括CMB、PMF、PCA等。受体模型可以解析出各种污染源对空气中污染物的贡献情况但是不能计算出各类排放源污染物的排放总量。排放清单法是在确定研究区域和基准年后,在对污染源调查研究的基础上,对该区域污染源进行分类与识别,采用实地调查、文献调研等方式获取基准年内不同污染源类别的活动水平和排放因子数据,根据已经获得的活动水平和排放因子数据,按照污染物排放量的计算模型计算各类污染源不同污染物的排放量,并得出不同排放源对污染物排放总量的贡献。该方法可以对污染情况进行量化,在获得准确度较高的计算结果的前提下,排放清单结果可以为政府及环保部门开展环保工作提供数据支持,为解决大气环境污染问题提供决策依据。吉林市是东北地区重要的化工城市,产业结构中以第二产业为主,高能耗高污染企业仍然存在,钢铁建材行业所占比重较大。随着城市化进程的加快,环境问题日益凸显。近几年,城市空气环境质量有所下降,雾霾天气在秋冬季节常有发生。细颗粒物污染对城市发展,人们的生活和健康都产生了一定的影响。因此,了解大气环境中细颗粒物的污染情况刻不容缓。本文以2013年为基准年,以吉林市为研究区域,开展吉林市大气细颗粒物污染源调查研究工作,将污染源分为固定燃烧源、工艺过程源、移动源、生物质燃烧源和扬尘源五大类。搜集整理每一类污染源分级后的部门企业、燃料、产品等数据,统计各类污染源的活动水平和排放因子数据,通过排放量的计算模型,计算各类污染源向空气中排放的废气中PM2.5的含量。计算结果显示,2013年吉林市各类污染源向大气排放的PM2.5总量为9.63万吨,其中固定燃烧源、工艺过程源、移动源、生物质燃烧源和扬尘源向大气排放的PM2.5总量分别为2.55万吨、3.21万吨、0.38万吨、2.61万吨和0.88万吨,各类污染源的排放贡献率分别为27%,33%,4%,27%和9%。工艺过程源是吉林市大气环境中PM2.5的主要来源。对排放清单进行不确定性分析采用两种方式,一是运用蒙特卡洛法计算出固定燃烧源、工艺过程源、移动源、生物质燃烧源和扬尘源的不确定度分别为±36%、±8.1%、±54%、±5.5%、±63%。分析结果表明,移动源和扬尘源是清单的主要不确定性来源。二是将本文计算的结果与吉林市大气细颗粒物源解析研究结果对比,结果显示,固定燃烧源对PM2.5的贡献率基本一致,本文研究结果中工艺过程源和生物质燃烧源贡献率偏高,移动源和扬尘源贡献率偏低。",《吉林大学》,2016年,【学位授予单位】：吉林大学【学位级别】：硕士【学位授予年份】：2016【分类号】：X513,1131.0,13.0
330,刘光兰,基于外部性的跨区域大气污染治理模式研究,"大气污染
/
治理模式
/
合作治理","目前,我国的大气污染治理模式主要是与行政区划相适应的属地管理模式。这种治理模式暴露出四大缺陷：其一是治理分权、央地政府合作陷困境,其二是晋升“锦标赛”、地方政府恶性竞争,其三是管制不利、政企博弈,其四是公众参与不足、政企合作困难。显然,传统的大气污染治理模式已经不能适应复合型大气污染治理的需要。本文从污染的外部性视角切入,以利益相关者理论和博弈理论为理论基础,总结归纳国内外主要的大气污染治理模式并分析了我国现阶段大气污染及其治理的基本属性特征,从而为大气污染合作治理模式的提出奠定了基础。一方面,将大气污染合作治理模式的治理客体分析、治理主体分析、治理机制分析三个核心问题的探讨作为研究主线,提出适合我国现阶段大气污染治理的最佳选择是大气污染合作治理模式。另一方面,以研究政府间关系、政企关系、企社关系三对关系类型为隐藏的主线,剖析了三对关系在属地管理治理模式中的合作困境,通过建立静态博弈模型详细分析了影响三对关系策略选择的主要因素、选择结果及改进方向,最后在探讨了大气污染合作治理模式在我国实施的可行性的基础上,从协调三对关系合作治理的角度提出完善跨区域大气污染治理模式的具体对策和建议。",《西南石油大学》,2015年,【学位授予单位】：西南石油大学【学位级别】：硕士【学位授予年份】：2015【分类号】：X51,728.0,6.0
331,曹宏杰/倪红伟,大气CO_2升高对土壤碳循环影响的研究进展,"CO2升高
/
碳循环
/
碳输入
/
碳输出","土壤有机碳是陆地碳库的重要组成部分,其积累和分解的变化直接影响全球的碳平衡。据估计,全球土壤(表层1 m)有机碳积累总量相当于大气中碳总量的2~3倍。土壤是温室气体的源或汇,土壤碳库的变化将影响大气CO2的浓度,因此,土壤碳库对人类活动的响应也是全球碳循环和全球变化研究的热点。在全球变化的大背景下,大气CO2升高导致植被生态系统碳平衡的改变进而对土壤碳循环产生影响。总结了陆地生态系统碳循环对大气CO2浓度升高响应的主要生物学机制及过程,简述了大气CO2浓度升高对影响土壤碳输入和输出的各因素的研究进展,并指出未来研究的主要方向。在大气CO2浓度升高条件下,陆地生态系统碳循环的变化主要反映在以下几个方面:1)不同类型植物群落的净初级生产力(NPP)显著增加,但湿地植物的净初级生产力也有可能降低;2)光合产物向根系分配的数量增加,地上/地下生物量降低,根系形态发生变化,根系周转速率和根系分泌等过程的碳流量提高;3)植物含氮量降低,C/N提高,次生代谢产物增加,微生物生长受到抑制,植物残体分解速率降低;4)土壤呼吸速率显著增加,提高幅度受植物类型与土壤状况的影响;5)进入土壤的植物残体及分泌物的数量和性质影响土壤酶的活性,脱氢酶和转化酶活性增加,酚氧化酶和纤维素酶受植物类型与环境条件的影响;6)土壤中真菌的数量的增加幅度要高于细菌;7)CH4释放量增加,在植物的生长期表现更为明显。由于陆地生态系统碳循环的复杂性,研究结果仍有很大的不确定性。大气CO2浓度升高与全球变化的其它表现间的交互作用将是今后研究的重点,同时由于土壤碳循环是一个由微生物介导的生物地球化学循环过程,因此,加强陆地生态系统碳循环的微生物机制研究也将为全面理解碳循环的过程提供更加准确的研究理论基础。",《生态环境学报》,2013年11期,"【作者单位】：
                哈尔滨师范大学;湿地与生态保育国家地方联合工程实验室;黑龙江省科学院自然与生态研究所;  【基金】：国家自然科学基金项目(31170462)  
黑龙江省自然科学基金项目(C201032)  【分类号】：X144",1089.0,40.0
