,作者,文章名称,关键词,摘要,发表位置,时间,单位或其他,下载量,被引量
27,易博/林德源/陈云翔/洪毅成/张俊喜,钢筋混凝土在盐渍土环境中的腐蚀行为,盐渍土/钢筋混凝土/氯离子/硫酸根,"依据盐渍土分类规则,设置了系列的盐渍土模拟溶液。采用极化曲线测试了干湿循环模拟盐渍土环境中氯离子、硫酸根离子的不同比例对钢筋腐蚀行为的影响,并采用离子扩散装置考察了硫酸根存在下氯离子在混凝土中的扩散特征。结果表明,盐渍土环境对混凝土中钢筋的腐蚀有很大的影响,不同盐渍土环境对钢筋腐蚀的影响程度不同,混凝土中钢筋在氯盐渍土和亚氯盐渍土环境中,腐蚀速率较快;此外,硫酸根的含量在一定范围内对氯离子的扩散有促进作用,这一结果与电化学测试结果相对应。",《腐蚀与防护》,"
2015年09期","【作者单位】：
                上海电力学院上海高校电厂腐蚀防护与应用电化学重点实验室;国网福建省电力有限公司电力科学研究院;  【基金】：国家电网重点科研课题(gwkj2012-010-II-2)  
国家自然科学基金(50771062)  【分类号】：TU528",181,3
28,林德源/易博/陈云翔/张俊喜/洪毅成,盐渍土环境下钢筋混凝土腐蚀的研究进展,盐渍土/钢筋混凝土/腐蚀/,"钢筋混凝土在盐渍土和盐湖环境下的腐蚀包括硫酸根离子和镁离子对混凝土的侵蚀以及氯离子对混凝土中钢筋的锈蚀。简要介绍了盐渍土环境中钢筋混凝土结构腐蚀失效原理,并综述了国内外近年来对盐渍土钢筋混凝土腐蚀机理研究的相关情况。",《材料导报》,"
2014年11期","【作者单位】：
                国网福建省电力有限公司电力科学研究院;上海电力学院上海高校电厂腐蚀防护与应用电化学重点实验室;  【基金】：国家电网重点科研课题(gwkj2012-010-II-2)  
国家自然科学基金(50771062)  【分类号】：TU375",582,16
29,周瑜,水—土环境中农药迁移富集规律研究,江汉平原/地下水/汉江/农药降解,"



	本文以江汉平原为例，以该区域地下水和地表水为研究对象，其中地下水为该区主要饮用水水源，地表水包括雨水，湖水和江水，调查了该区域基本水化学特征，水土环境中农药残留现状，水土界面影响农药残留的因素，地下水-地表水的相互作用关系及其对农药运移的影响和土壤有机质与农药污染物间的吸附机理探讨。本研究中对有机氯和有机磷农药均做了残留分析，有机氯农药包括甲体六六六、六氯苯、乙体六六六、丙体六六六、丁体六六六、七氯、艾氏剂、七氯环氧化物、反式硫丹、滴滴伊、狄氏剂、异狄氏剂、顺式硫丹、滴滴滴、邻，对-滴滴涕、异狄氏剂醛、硫丹硫酸盐、对，对-滴滴涕和甲氧滴滴涕，有机磷农药包括甲胺磷、敌敌畏、辛硫磷、治螟磷、甲拌磷、乐果、二嗪农、甲基对硫磷、马拉硫磷、对硫磷、水胺硫磷和喹硫磷。



	地下水根据研究区域水文地质条件和取样井的深度分为两大类，浅层孔隙承压水和潜水，采样井类型有敞口井和压水井两大类。依苏卡列夫分类地下水主要为HCO_3-Ca·Mg型，其中潜水类型相对较为复杂，各个区域不具有一致性，地表水绝大部分为HCO_3-SO_4-Ca-Mg。As，Si，Mn，S，Fe和NO_3~-在研究区空间上有较明显不均一性，其中Mn，As和NO_3~-超过了世界卫生组织饮用水标准，潜水中NO_3~-浓度竟高达150-190 mg/l，极可能是由频繁的农业活动所致。



	本研究采集了大量水样和土样分析其中农药的残留量并研究其相关影响因素。固相萃取-气相色谱/电导检测器和索式抽提-气相色谱/电导检测器分别用来分析水样和土样中的有机氯农药的浓度，固相萃取-气相色谱/脉冲火焰光度检测器和震荡萃取-气相色谱/脉冲火焰光度检测器分别用来分析水样和土样中的有机磷农药的残留量。对于有机氯农药，异狄氏剂、顺式硫丹、邻，对—滴滴涕和异狄氏剂醛在所有的水样中均没有检出。河水中的农药量明显高于地下水中的含量，只有极少数地下水样中农药量较高。汉江水有四个水样总有机氯农药浓度超过欧盟规定的饮用水标准浓度(500ng/l)，最高的高达1075 ng/l。潜水中总有机氯农药浓度范围为17．0～58．7 ng/l，承压含水层中为1．9～636．0 ng/l。六六六各异构体、六氯苯、艾氏剂和七氯环氧化物检出率较高，其中七氯环氧化物检出最为频繁，但浓度一般较低，为1 ng/l左右。江水中的高浓度极可能是由灌溉和雨水在地表径流从农田运移了大量的农药，此外生活污水，工业废水，非点源和直接倾入江水的农药也可造成江水中异常高的农药含量。多数水样检出多种农药，硫丹硫酸盐浓度比别的农药较高，而且远远高出欧盟的饮用水标准，高达753 ng/l。潜水中七氯、七氯环氧化物、狄氏剂、反式硫丹、滴滴伊、硫丹硫酸盐和对，对—滴滴涕均没有检出。甲氧滴滴涕和对，对—滴滴涕在江水中没有检出。甲氧滴滴涕仅在承压含水层样品中有检出。六六六类在汉江中的检出含量远大于地下水中含量，而且其含量沿着汉江从上游至下游升高，到下游35号点时高达125 ng/l，可能由地表径流或汉江沿岸某处点源污染造成，尤其是在丰水期，土壤侵蚀加剧，农药更易被带入河流或从上游带至下游。35号水样及附近地下水样中，甲体六六六在六六六类农药中占主导地位，可能归于近期的六六六类农药的使用或者通过大气由别的区域经过远距离传输所致，但甲体六六六浓度高于丁体六六也可能表明过去有林丹使用。滴滴涕类总浓度略小于六六六类农药，可能是因为DDT类溶解度较小，滴滴伊在江水样中含量较高，因为它是DDT在好氧条件下的降解产物，而江水流动量大提供了很好的好氧环境。而在有DDT类农药检出的地下水样中，仅仅DDD被检出，因为它是DDT在厌氧条件下的降解产物，而地下水含水层沉积物提供了很好的还原环境。滴滴涕及其降解物的浓度表明此类农药残留来自过去的使用，但是在No．35的结果表明此处可能有新近的滴滴涕类农药的使用。



	本研究选取了三个点取土壤样品研究剖面上有机氯农药浓度的变化，三个点上浓度随深度变化并不一致，但是峰值浓度基本都集中在10到50 cm，100 cm深处一般都没有任何检出。滴滴涕类在土壤剖面的检出率大于90%，分析结果也表明滴滴涕类农药是含量最大的，六六六类其次，再次是艾氏剂。土壤样品中甲、乙、丙、丁体六六六农药的检出浓度从大到小的顺序依次为丁体六六六＞乙体六六六＞丙体六六六＞甲体六六六，与这些异构体的降解速率一致，它们的降解速率从大到小为甲体六六六＞丙体六六六＞丁体六六六＞乙体六六六，这样导致丁体六六六和乙体六六六成为主要组分。而对于滴滴涕类农药，对，对滴滴涕/总滴滴涕含量的比值表明可能有新近DDT的使用，滴滴涕代谢产物中滴滴伊是主要组分，表明过去使用的DDT经由了风化了的农田土壤长期停留在厌氧环境下，邻，对—滴滴涕和对，对—滴滴涕含量也较高，其中邻，对—滴滴涕稍低一点，可能是由于挥发性较对，对—滴滴涕强些。这三个点对应的井深均为17m，绝大多数有机氯农药在井水中没有检出，表明它们的淋滤路径不是太长，或者降解伴随下渗过程发生，以至于未能到达井水中，但是，不合理的农药实用方式和高剂量的使用也会导致其进入深井井水中。



	比起有机氯农药来说，汉江中有机磷农药的检出要低很多，最高含量只有604．2 ng/l，但是地表水中的有机磷农药含量比大多数地下水中都要高出很多，就地下水来说，大多数含量低于100 ng/l，甲拌磷、乐果、二嗪农和喹硫磷含量相对较高，各类水环境中各种有机磷农药的峰值从高到低的顺序为湖水(雨水)＞汉江水＞潜水＞承压水．就农药本身来看，甲胺磷和乐果的平均浓度比其它有机磷农药要高，往往超过了欧盟的饮用水标准，0．1μg/l，这与它们在该地区的大量使用有关，它们在水样中的最大浓度分别是137．9 ng/l和344．0 ng/l。除了甲胺磷，马拉硫磷，水胺硫磷和喹硫磷以外，其余的峰值都是出现在雨水样里，但是临近的井水样中却没有有机磷农药的检出，这表明雨水中的高含量由于农药施用后由大气传输或蒸腾挥发所致。各点土壤剖面上的有机磷农药浓度变化及其与对应井水中的农药浓度并没有表现出一致的趋势和关系，这由于两方面原因造成，一来各地农药施用情况不尽相同，二是有机磷在淋滤下渗过程中极不稳定，受土壤及本身物化性质影响较大，但是从剖面浓度变化来看，主要淋滤吸附作用带依然在从表层土壤至50 cm处。甲胺磷和乐果在大多数采样点土壤样中检出率较高而且，伴随有较高的浓度值，这个与水环境中的结果一致。甲基对硫磷和马拉硫磷在土壤样品中检出率也较高，但是在地下水样中未被检出，表明这两种农药降解速率较快。其余的农药只有微量检出或者检出率较低，敌敌畏和辛硫磷在土壤样品中没有检出，但是偶尔出现在地下水样中，可能由农药施用时的渗漏造成直接污染水源。



	本研究也分析了土壤垂向剖面中的农药变化规律，对于有机氯农药来说，峰值一般出现在从表层土到地下50cm，但是有机磷农药极不规律，个别剖面中残留量峰值竟出现在100 cm。依本研究中考虑的因素来看，农药残留量的主要受pH，有机质含量，含水量，粘土(粉砂)矿物含量和氧化还原环境，水环境中pH作用比土壤环境中较为明显。因此，向土壤中添加粪肥等可以提高其有机质含量来降低农药对地下水的污染，或者添加一些粘性矿物如蒙脱石来增加粘土含量在土壤中吸附更多的农药污染物，避免它们往下渗透。此外，农药的施用方式方法也要结合当地的土壤性质，要避免在易渗透的砂质土壤处大量施用农药，当然从保护地下水水源来看，饮水用井的构造也应该尽量严格，井壁尽量密封严实，农药的选择，施用的频率和用量也应该遵守一定的标准。



	此外，本研究还包括原样土柱的淋滤实验，原样土柱采白江汉平原仙桃地区，淋滤实验的目标农药采用草甘膦和阿特津农，尽管这两种农药没有在本研究中做残留调查，但这两种农药是国际上广泛使用的极具代表性的杀虫剂。经过长度为15 cm的土柱淋滤160小时后，出水中的阿特津农基本与淋滤前农药相等，而对于草甘膦来说，出水中草甘膦浓度及其代谢产物氨甲基膦酸浓度的总和都不及淋滤前浓度的16%。阿特沣农的高度淋滤特性表明了相对于草甘膦来说，阿特津农具有较弱的吸附性能和较强的耐持久性，因此，对于地下水来说，阿特津农具有更大的污染可能。



	本文讨论了有机磷农药和土壤有机质的吸附机理，对腐殖质和溶解性有机质进行了组分分离并对各组分定用元素分析仪、核磁共振和红外、紫外、分子荧光等光谱方法对各组分进行定性分析。结果表明富里酸相比胡敏酸而言，含有较少的芳香族基团，但是多了些酸性基团．土壤溶解性有机质腐殖化程度较低，氧化程度较高。富里酸对疏水性物质，如马拉硫磷，对硫磷，辛硫磷，甲基对硫磷，水胺硫磷，治螟磷，甲拌磷，喹硫磷和二嗪农没有很强的吸附能力。这些疏水弱极性有机磷农药主要与芳香族的胡敏酸类相互作用，因为富里酸中大量的氧化饱和的官能团会抑制结合其他基团的能力。土壤中的溶解性有机质在土壤表面会跟有机污染物竞争吸附位点，从而降低它们在土壤中的残留量，但是另一方面，土壤中的溶解性有机质会吸附在土壤表面，整体上增强了土壤的吸附能力和农药运移的延滞状态，而且亲合力本身也受目标农药物化性质的影响。此外，也有文献表明土壤溶解性有机质会改变土壤表明的疏水-亲水性能，对溶解度较低的农药来说位点增加，但是减少了亲水性农药吸附的位点。



	本文的创新点体现在：(1)系统研究了江汉平原不同水环境中常量元素及有机氯、有机磷农药的化学行为，采用了SPE-GC/PFPD和震荡萃取-GC/PFPD的方法分别对水样和土样中12种有机磷农药进行了分析，并研究了农药在地下水-土环境中富集的影响因素，认为有机质对农药迁移富集有重要作用；(2)通过对土壤不同有机质的不同组分的定性定量分析，结合波谱分析技术和光谱分析技术，有效揭示了有机磷农药与土壤有机质的吸附机制，认为胡敏酸对疏水性有机磷农药吸附作用较富里酸更强，因为它们具有更多的芳香族官能团与农药中疏水性基团结合，而富里酸中的氧化饱和了的基团则可能抑制结合能力。此外，溶解性有机质会影响有机污染物在不同相的分配，与农药竞争在土壤表面的吸附位点。",《中国地质大学》,"
2009年",【学位授予单位】：中国地质大学【学位级别】：博士【学位授予年份】：2009【分类号】：X132,1986,12
30,王永佳,氯盐渗透扩散耦合作用下混凝土的损伤效应研究,渗透扩散/扩散模型/侵蚀/单轴压缩抗压强度,"目前,海水及盐渍土是氯盐侵蚀混凝土桥墩的两种主要环境。其侵蚀方式主要以毛细孔吸附、扩散以及渗透为主,且侵蚀在毛细孔吸附、扩散以及渗透共同耦合作用下进行,因而研究氯盐渗透扩散耦合侵蚀下混凝土的损伤对桥梁的安全使用有重大意义。本文采用室内试验、理论分析和数值计算相结合的思路,模拟混凝土在盐溶液环境及盐渍土环境进行氯盐扩散、氯盐渗透扩散耦合作用下的侵蚀行为,分析其物理、力学、渗透性能,得到如下主要结论:(1)通过自主设计研制的侵蚀试验装置,对圆柱体混凝土试样进行了侵蚀,通过相应公式计算出氯离子的扩散系数,结果发现:(1)盐溶液侵蚀环境盐渍土侵蚀环境;(2)9.30%0.93%0.10%;(3)渗透扩散耦合侵蚀方式扩散侵蚀方式。(2)依据Fick第二定律,借助comsol数值模拟软件,建立侵蚀环境、氯盐浓度以及侵蚀方式这三种变量下氯盐侵蚀混凝土过程中氯离子的扩散数值模型。揭示了随腐蚀时间的增加,混凝土中氯离子浓度均表现为逐渐增加,扩散系数逐渐减小的规律,进一步验证了试验的结论。(3)基于室内试验,测试了侵蚀后混凝土的力学性能,试验结果表明:侵蚀后混凝土的单轴抗压强度及劈裂抗拉强度呈现先增大后减小的趋势,且75d为强度变化的转折点。(4)依据固体力学相关理论,借助comsol数值模拟软件,建立三种变量下侵蚀后混凝土强度的数值模型。揭示了随着腐蚀时间的增加其强度先增大后减小的规律,对试验结论得以验证,为指导实际工程应用提供理论依据。(5)以抗压强度为指标定义了损伤度,得到了三种变量影响下损伤度随时间的变化呈现出先增大后减小的趋势;侵蚀环境与侵蚀方式下损伤度与时间为三次函数关系,而盐溶液浓度与损伤度呈现二次函数关系;结合侵蚀过程中氯盐浓度对扩散系数的影响,分析得到氯盐在浓度梯度作用下使混凝土内部氯离子的扩散系数发生改变,而扩散系数的改变则随着时间影响混凝土试样的侵蚀程度,进而造成其单轴抗压强度改变的混凝土损伤机理。",《河北建筑工程学院》,"
2019年",【学位授予单位】：河北建筑工程学院【学位级别】：硕士【学位授予年份】：2019【分类号】：TU528,238,0
31,满都拉/银花/曹美琪,盐渍土环境下混凝土耐久性研究进展,盐渍土/混凝土/耐久性/,"盐渍土的有害离子与环境多因素耦合作用下对混凝土材料造成腐蚀或损伤,引起混凝土结构性能的劣化,严重威胁各类建(构)筑物的耐久性及服役期间的安全性。本文介绍了盐渍土环境中混凝土材料被腐蚀或损伤机理;总结了近年来氯离子、硫酸盐、以及多因素耦合作用下混凝土耐久性的研究成果;并且对盐渍土的有害离子与环境多因素耦合作用下对混凝土耐久性的研究进行了展望。",《硅酸盐通报》,"
2016年11期","【作者单位】：
                内蒙古大学交通学院;  【基金】：国家自然科学基金(51568052)  【分类号】：TU528",451,13
32,李军,冀北地区典型土壤发生特性及系统分类,冀北/土壤发生特性/系统分类/基层分类,"土壤是人类生产和生活的重要资源,土壤分类是农牧业发展和科学研究的基础,同时也是社会不断发展的需求。本研究通过对冀北地区土壤的野外调查和室内分析,应用中国土壤发生分类和中国土壤系统分类的基本理论和方法,明确了该区域内典型土壤的发生特性和土壤系统分类情况。主要研究结果如下：

	(1)冀北地区31个典型土壤剖面按《中国土壤发生分类》(1992)划分了半淋溶土纲等7个土纲、褐土等19个土类；按《中国土壤系统分类检索(第3版)》划分了新成土、雏形土、淋溶土、均腐土、盐成土5个土纲,正常新成土等7个亚纲,干润正常新成土等12个土类,石质干润正常新成土等15个亚类。

	(2)冀北地区土壤主要诊断层有暗沃表层、淡薄表层、雏形层、粘化层和盐积层,主要诊断特性有盐基饱和特性、均腐殖质特性、氧化还原特征、石质接触面和钙积现象。

	(3)冀北地区部分类型土壤在发生分类的土类与系统分类的土纲参比中能找到一定的对应关系,但发生分类的土类与系统分类的土类之间参比中未发现对应关系。

	(4)初步建立了粗骨壤质长石混合型非酸性温性普通干润正常新成土等12个土族和松窑岭系等12个土系。",《湖南农业大学》,"
2013年",【学位授予单位】：湖南农业大学【学位级别】：硕士【学位授予年份】：2013【分类号】：S151;S155,198,1
33,周群英/黄春长/庞奖励/陈宝群/李平华/张建/,黄土高原褐土和黑垆土剖面中Rb和Sr分布与全新世成土环境变化,黄土高原/土壤/稀土元素/成土环境,"对黄土高原 3个土壤剖面Rb和Sr分布规律的研究表明 ,全新世不同阶段的黄土和土壤中Rb和Sr分布存在明显的差异 ,Rb/Sr比值的变化反映了成土环境和成土作用强度的变化。全新世早期 ,气候比较温和干燥 ,风尘堆积速率降低 ,土壤发育表现为边沉积边成土 ;全新世中期 ,气候温暖湿润 ,沙尘暴很少发生 ,风尘堆积速率极低 ,生物风化成土作用达到最强 ,以至于在黄土高原面发育黑垆土 ,在关中盆地形成褐土。到了 3 10 0多年前 ,气候恶化变干 ,风尘堆积速率加快 ,土壤严重退化。从区域上看 ,冬季风对黄土高原南部的环境效应比夏季风对北部的环境效应要强 ;黄土高原南部季风场强的变化较北部大。",《土壤学报》,"
2003年04期","【作者单位】：
                陕西师范大学旅游与环境学院  西北历史环境与经济社会发展研究中心  陕西师范大学旅游与环境学院  西北历史环境与经济社会发展研究中心  陕西师范大学旅游与环境学院  西北历史环境与经济社会发展研究中心  陕西师范大学旅游与环境学院  西北历史环境与经济社会发展研究中心  陕西师范大学旅游与环境学院  西北历史环境与经济社会发展研究中心  陕西师范大学旅游与环境学院  西北历史环境与经济社会发展研究中心  【基金】：国家自然科学基金项目(4 0 0 710 0 6)  








教育部重大项目(0 1JAZJD770 0 14 )资助  【分类号】：S153",365,15
34,赵阳/夏文俊/乔頔/徐永福/,盐渍土与海洋环境下氯离子侵蚀混凝土对比分析,盐渍土/海洋环境/混凝土/钢筋,"盐渍土中高含量的氯离子对埋设其中的钢筋混凝土结构物耐久性产生了重大的影响。根据氯离子在混凝土孔隙溶液中的扩散、电迁移和毛细吸附过程,建立盐渍土环境下氯离子侵蚀混凝土的模型。采用有限元方法对比分析滨海盐渍土环境、盐湖盐渍土环境以及海洋环境对结构物耐久性的影响。分析表明不同环境对结构物耐久性影响大小:盐湖盐渍土滨海盐渍土海水。",《公路交通科技(应用技术版)》,"
2012年12期","【作者单位】：
                江苏省交通工程建设局;上海交通大学;  【分类号】：TU448",172,6
35,刘秀铭/吕镔/毛学刚/温昌辉/俞鸣同/郭雪莲/陈家胜/王涛/,风积地层中铁矿物随环境变化及其启示,黄土古土壤/含铁矿物/磁性矿物/成土环境,"铁在不同温度和湿度环境中形成不同铁的化合物,如铁的氧化物、氢氧化物、硫化物和碳酸盐等。这些不同种类含铁矿物可以通过磁学方法测量,根据它们含量与比例特征来分析过去地球环境变化。黄土是一种风积形成特殊成因的沉积岩,经过百余年不断争论,才有了""风成""的定论。本文总结概括世界各地的黄土古土壤形成环境与铁矿物特征,得到如下认识:红色古土壤只形成于干旱氧化环境中,但不是所有干旱条件都能够形成红色土;红色土壤中的磁赤铁矿和赤铁矿在湿润氧化和还原环境中不稳定,会渐渐转变成为氢氧化物(褐铁矿),甚至硫化物(黄铁矿/磁黄铁矿),导致红色褪去、黄色增加和磁化率降低。现代的河流、湖泊和海洋均为还原环境,沉积物也呈黄、灰、白、绿、黑等还原系列颜色与之对应。将今论古可以推理,过去红色地层极不可能形成于""水成""环境,只能形成于地表透水性良好的干燥氧化环境中。沉积岩除了""水成""和""风成""两个大类环境之外,至少还有一种过渡交互类型需要得到特别认识,如干旱区山间盆地洪积类型(戈壁滩洪积与河流河漫滩等环境)。这类沉积物毫无疑问是洪水搬运形成,因此留下层理等特征;但是洪水消失后,沉积物实际上长期处于地表干燥氧化成土环境,因此兼有水成和成土两种特征。丹霞红层具有水成层理,并同时具有原生红颜色的就是在这样环境中形成的。张掖彩色丘陵,并非湖相水成地层,而主要是风积古土壤地层序列,在长期持续炎热半干旱环境条件下甚至还发育了特殊的厚层石膏土。黄土与环境的深入研究必将对地质学和地理学产生深远的影响,比如黄土研究已经带来地学一些基本概念变化,如:古土壤层并不一定意味着沉积间断;层状沉积岩地层并不一定是""水成""等等。",《第四纪研究》,"
2014年03期","【作者单位】：
                福建师范大学地理研究所  福建省湿润亚热带山地生态重点实验室一省部共建国家重点实验室培育基地;Department  【基金】：国家自然科学基金项目(批准号:41210002和41072124)资助  【分类号】：P574",25,53
36,李玲,高潜水位平原区采煤塌陷地复垦土壤特征与分类研究,高潜水位平原区/采煤塌陷地/复垦土壤/土壤特征,"随着工业的发展,人为作用对土壤的影响越来越深刻,与矿区相关的土壤问题正变得日益突出,复垦土壤因人为扰动和成土时间短,土壤剖面构型、土壤理化性质都发生了巨大的变化。以高潜水位平原区采煤塌陷地复垦土壤为研究对象,通过样点设计、野外调查、实地观测和室内分析测定,从诊断分类的角度系统研究了不同的复垦工艺、复垦时间的土壤剖面各层次的形态特征、理化特征、环境质量特征及其分布规律,分析讨论复垦土壤的成土作用和成土过程,提出成土公式及成土模式特点；根据现有中国土壤系统分类确定土壤高级分类的诊断层和诊断特性,对高潜水位平原区采煤塌陷地复垦土壤进行系统分类检索,同时进行国际土壤分类参比；并探索扩展现有中国土壤系统分类方案,尝试建立适于复垦土壤分类的检索系统；推测分析具体高潜水位平原矿区采煤塌陷地复垦土壤演替,提出复垦土壤管理建议。研究结果对拓展土壤学研究范畴,满足矿区复垦过程中对土壤科学的需求,矿区土壤修复以及土壤资源的可持续利用等具有重要的意义。",《中国矿业大学（北京）》,"
2011年",【学位授予单位】：中国矿业大学（北京）【学位级别】：博士【学位授予年份】：2011【分类号】：S155.1,565,15
37,甄卫军/祁新萍/李志娟/李振江/闵犁园/庞桂林/,膨润土环境修复材料的制备、表征及在废水处理中的应用,膨润土环境修复材料/制备/吸附/COD,"以新疆夏子街钠基膨润土制备环境修复材料并应用于废水处理。FTIR(红外光谱)分析结果表明,改性后有机季铵盐已经插层进入蒙脱石层间。XRD(X射线衍射)结果表明,改性后蒙脱石层间距由1.227 nm增至3.476 nm。当pH=4、膨润土环境修复材料用量为6 g/L、搅拌时间30 min时,其对城市生活污水化学耗氧量COD的去除率达到80%以上。当pH=8、搅拌时间15 min、膨润土环境修复材料用量为60 g/L时,对炼油碱渣废液中挥发酚的去除率达到94.21%。",《化工进展》,"
2005年11期","【作者单位】：
                新疆大学化学化工学院  新疆大学化学化工学院  新疆大学化学化工学院  新疆大学化学化工学院  新疆大学化学化工学院  新疆大学化学化工学院  【基金】：新疆维吾尔族自治区2003年科技攻关和重点科技项目(No.200332108)  【分类号】：X703.5",495,10
38,翁昊璐,重庆市黄壤发生特征及系统分类研究,重庆市/黄壤/成土过程/系统分类,"土壤在人类的生产生活中占据着重要的作用,而土壤分类对于认识土壤的理化性质和供肥能力等均有重要的意义,土壤分类这一门学科经过多年的发展,以定量化、标准化为主要特点的系统分类正在成为全世界土壤分类的主流方法。我国现在依旧处于发生分类占主导,系统分类快速发展的阶段。目前,由中国科学院南京土壤研究所牵头的《中国土系志》的编撰工作正在如火如荼地开展过程中,各个省市的土壤工作者已经对多种类型的土壤进行了深入的研究,且取得了一系列瞩目的成就。但是,对于重庆市大面积分布的地带性土壤—黄壤的系统分类研究迄今为止还没有一篇研究,为了弥补这一研究空缺,更加全面地了解这一类重庆市境内重要的地带性土壤,本研究从土壤发生与分类的角度,选取重庆市内15个较为典型的黄壤剖面作为研究对象,探究其成土环境、土壤的剖面形态特征、剖面土壤理化指标,依据中国土壤系统分类的一般原则方法,对供试土壤进行系统分类高级分类单元和基层分类单元的检索,并建立相应的土系,同时在不同的分类单元层面上与发生分类进行参比,进而探究供试黄壤剖面在系统分类中的具体位置,同时,通过理化指标分析,探究重庆市境内几种典型黄壤的标志性成土过程,用以判断其典型性。通过这一系列研究,用以补充重庆市黄壤的生产资料,为中国土壤分类与国际接轨奠定理论基础,同时也为进一步完善中国土壤系统分类提供依据,主要研究结果如下:(1)重庆市典型黄壤的母质类型较为多样,分别为第四系更新统沉积物(包括夹卵石黄泥土和红色黏土);须家河组石英砂岩风化残坡积物;奥陶系页岩风化坡积物;青白口系板岩风化残坡积物;震旦系白云岩、页岩、砂岩风化残坡积物;侏罗系新田沟组黄色砂岩风化残坡积物;侏罗系沙溪庙组黄色砂岩风化残坡积物;寒武系燧石灰岩风化残坡积物;侏罗系蓬莱镇组紫色砂岩风化残坡积物等母质类型。在重庆市境内,供试黄壤的海拔分布在200 m到1200 m之间,其中大部分黄壤主要的分布海拔范围为400~800 m,土地利用方式多为旱地,有少数的有林地和荒草地,颜色大部分为黄色或黄棕色,结构大多为粒状或块状,仅有一个剖面层次出现棱柱状结构。新生体包括黏粒胶膜、腐殖质胶膜和铁锰斑纹,土壤质地从砂质到黏质均存在。根据对供试剖面的化学性质分析可知,供试黄壤剖面普遍pH较低,酸碱度在酸性至中性之间,有机碳含量较高,表层碳氮比大部分在8~10左右,仅供试剖面Y15的碳氮比很低,这可能是因为该剖面曾经历过水改旱,强烈的干湿交替作用使得土壤有机碳含量降低,但是该剖面的表层阳离子交换量较其他剖面较高,这是因为该剖面在经历了水改旱之后又经历了抛荒,目前为荒草地,这说明自然植被可以迅速恢复表层土壤的生产力,且相较于有机碳,阳离子交换量对土壤肥力的反应更为敏感。(2)由硅铝率和游离氧化铁含量分析可知,成土母质类型为石灰岩、侏罗系地层母质(主要为新田沟组、沙溪庙组和蓬莱镇组)以及发育自较低海拔处的须家河组石英砂岩母质的黄壤在发育过程中曾经历了一系列脱硅富铝化作用,发育自海拔较高处(1200 m以上)的须家河组砂岩母质的黄壤,由于海拔较高,其水热条件与黄壤形成的水热条件不符,因此没有发生脱硅富铝化作用,该类黄壤并不典型,而更新统沉积物母质发育形成的黄壤也同样没有发生过脱硅富铝化作用,且这一类母质发育形成的土壤分布海拔普遍较低,基本都位于200 m左右,同样不符合黄壤形成的水热条件,因此也是一类不典型的黄壤。(3)依据《中国土壤系统分类检索(第三版)》和《中国土壤系统分类土族与土系划分标准》,15个供试剖面可检索出淡薄表层一个诊断表层,舌状层、雏形层和黏化层3个诊断表下层,准石质接触面、湿润、常湿润、滞水和潮湿土壤水分状况、氧化还原特征、热性和温性土壤温度状况、腐殖质特性、铁质特性、铝质特性、舌状现象以及盐基饱和与不饱和,并划分为淋溶土和雏形土2个土纲,常湿淋溶土、湿润淋溶土、常湿雏形土和湿润雏形土4个亚纲,简育常湿淋溶土、铁质湿润淋溶土、滞水常湿雏形土、酸性常湿雏形土、铝质湿润雏形土、铁质湿润雏型土、简育湿润雏型土等7个土类,铝质简育常湿淋溶土、斑纹铁质湿润淋溶土、漂白铁质湿润淋溶土、普通滞水常湿雏形土、铁质酸性常湿雏形土、黄色铝质湿润雏形土、普通铁质湿润雏型土和普通简育湿润雏型土等8个亚类,以及15个土族,并建立了15个土系。(4)根据中国土壤系统分类与发生分类之间的参比可知,发生分类与系统分类之间并不是一一对应的关系,对于发生分类的黄壤亚类,系统分类可以检索出4个亚类,而发生分类的9个土种对应于系统分类的15个土系,这说明中国土壤系统分类对于土壤有更高的区分度,中国土壤系统分类的应用可以避免异土同名或同土异名情况的发生。但是系统分类也存在一定的缺点,即相较于发生分类简洁的命名方式来说名称过长,尤其是土族的名称,同时,这种命名方式有利于土壤类型的英文描述,对国际上土壤信息的交流有一定的促进作用。",《西南大学》,"
2019年",【学位授予单位】：西南大学【学位级别】：硕士【学位授予年份】：2019【分类号】：S155.24,42,0
